USA Stock Info
Symbol,Name,Price (USD),Previous Close,Change,Change (%),Latest Price Date
AAPL,Apple Inc.,200.66,199.95,+0.71,+0.36%,2025-05-30 03:55 PM
MSFT,Microsoft Corporation,459.59,458.68,+0.91,+0.20%,2025-05-30 03:55 PM
NVDA,NVIDIA Corporation,134.84,139.19,-4.35,-3.13%,2025-05-30 03:55 PM
AMZN,"Amazon.com, Inc.",204.66,205.70,-1.04,-0.51%,2025-05-30 03:55 PM
GOOGL,Alphabet Inc.,171.61,171.86,-0.25,-0.15%,2025-05-30 03:55 PM
META,"Meta Platforms, Inc.",646.88,645.05,+1.83,+0.28%,2025-05-30 03:55 PM
TSLA,"Tesla, Inc.",345.76,358.43,-12.67,-3.53%,2025-05-30 03:55 PM
BRK-B,Berkshire Hathaway Inc.,503.67,506.18,-2.51,-0.50%,2025-05-30 03:55 PM
UNH,UnitedHealth Group Incorporated,301.40,298.17,+3.23,+1.08%,2025-05-30 03:55 PM
LLY,Eli Lilly and Company,737.69,722.57,+15.12,+2.09%,2025-05-30 03:55 PM
JPM,JPMorgan Chase & Co.,263.83,264.37,-0.54,-0.20%,2025-05-30 03:55 PM
V,Visa Inc.,365.15,362.40,+2.75,+0.76%,2025-05-30 03:55 PM

INDIA Stock Info
Symbol,Name,Price (INR),Previous Close,Change,Change (%),Latest Price Date
RELIANCE.NS,Reliance Industries Limited,1420.90,1417.80,+3.10,+0.22%,2025-05-30 12:00 AM
HDFCBANK.NS,HDFC Bank Limited,1944.90,1927.50,+17.40,+0.90%,2025-05-30 12:00 AM
ICICIBANK.NS,ICICI Bank Limited,1445.80,1456.50,-10.70,-0.73%,2025-05-30 12:00 AM
INFY.NS,Infosys Limited,1562.70,1563.60,-0.90,-0.06%,2025-05-30 12:00 AM
TCS.NS,Tata Consultancy Services Limited,3463.40,3498.10,-34.70,-0.99%,2025-05-30 12:00 AM
LT.NS,Larsen & Toubro Limited,3675.10,3655.30,+19.80,+0.54%,2025-05-30 12:00 AM
ITC.NS,ITC Limited,418.05,418.75,-0.70,-0.17%,2025-05-30 12:00 AM
KOTAKBANK.NS,Kotak Mahindra Bank Limited,2074.70,2081.60,-6.90,-0.33%,2025-05-30 12:00 AM
SBIN.NS,State Bank of India,812.30,797.35,+14.95,+1.87%,2025-05-30 12:00 AM
BHARTIARTL.NS,Bharti Airtel Limited,1856.20,1863.60,-7.40,-0.40%,2025-05-30 12:00 AM
HINDUNILVR.NS,Hindustan Unilever Limited,2348.30,2366.70,-18.40,-0.78%,2025-05-30 12:00 AM
BAJFINANCE.NS,Bajaj Finance Limited,9180.50,9160.00,+20.50,+0.22%,2025-05-30 12:00 AM
